source_text_path,cleaned_text_path,raw_chars,cleaned_chars,raw_words,cleaned_words,raw_lines,cleaned_lines,removed_artifact_lines,char_loss_ratio,word_loss_ratio,warning_flags
data/raw/text_extracted/austenJane/_OceanofPDF.com_Complete_Works_Extras_-_Austen_Jane_compressed.txt,data/interim/cleaned_books/austenJane/_OceanofPDF.com_Complete_Works_Extras_-_Austen_Jane_compressed.txt,7882918,7771868,1391333,1390898,122793,121584,33,0.014087,0.000313,
data/raw/text_extracted/CharlesDicken/10-Hard-times-author-Charles-Dickens.txt,data/interim/cleaned_books/CharlesDicken/10-Hard-times-author-Charles-Dickens.txt,580392,570531,103839,103607,8533,8066,195,0.01699,0.002234,
data/raw/text_extracted/CharlesDicken/11-Dombey-and-Son-autor-Charles-Dickens.txt,data/interim/cleaned_books/CharlesDicken/11-Dombey-and-Son-autor-Charles-Dickens.txt,1999729,1998828,359206,359206,32925,32925,0,0.000451,0.0,
data/raw/text_extracted/CharlesDicken/12-Martin-Chuzzlewit-author-Charles-Dickens.txt,data/interim/cleaned_books/CharlesDicken/12-Martin-Chuzzlewit-author-Charles-Dickens.txt,1881634,1880407,338248,338070,37413,37235,0,0.000652,0.000526,
data/raw/text_extracted/CharlesDicken/13-Our-Mutual-Friend-author-Charles-Dickens.txt,data/interim/cleaned_books/CharlesDicken/13-Our-Mutual-Friend-author-Charles-Dickens.txt,1856867,1811826,327848,326724,41061,37993,972,0.024256,0.003428,
data/raw/text_extracted/CharlesDicken/14-The-Mystery-of-Edwin-Drood-author-Charles-Dickens.txt,data/interim/cleaned_books/CharlesDicken/14-The-Mystery-of-Edwin-Drood-author-Charles-Dickens.txt,544226,531364,94232,94199,11529,11436,1,0.023634,0.00035,
data/raw/text_extracted/CharlesDicken/15-Barnaby-Rudge-author-Charles-Dickens.txt,data/interim/cleaned_books/CharlesDicken/15-Barnaby-Rudge-author-Charles-Dickens.txt,1445608,1417506,256243,255591,26491,24723,558,0.01944,0.002544,
data/raw/text_extracted/CharlesDicken/16-American-Notes-for-General-Circulation-author-Charles-Dickens.txt,data/interim/cleaned_books/CharlesDicken/16-American-Notes-for-General-Circulation-author-Charles-Dickens.txt,585005,584778,104301,104301,8249,8249,0,0.000388,0.0,
data/raw/text_extracted/CharlesDicken/17-The-Chimes-author-Charles-Dickens.txt,data/interim/cleaned_books/CharlesDicken/17-The-Chimes-author-Charles-Dickens.txt,172028,168212,30876,30770,3768,3488,86,0.022182,0.003433,
data/raw/text_extracted/CharlesDicken/18-The-Cricket-on-the-Hearth-author-Charles-Dickens.txt,data/interim/cleaned_books/CharlesDicken/18-The-Cricket-on-the-Hearth-author-Charles-Dickens.txt,178862,175054,31742,31639,3882,3604,87,0.02129,0.003245,
data/raw/text_extracted/CharlesDicken/196.-Bleak-House-Author-Charles-Dickens.txt,data/interim/cleaned_books/CharlesDicken/196.-Bleak-House-Author-Charles-Dickens.txt,1966389,1945279,355678,355462,36950,36615,1,0.010735,0.000607,
data/raw/text_extracted/CharlesDicken/2.-Oliver-Twist-Author-Charles-Dickens-compressed.txt,data/interim/cleaned_books/CharlesDicken/2.-Oliver-Twist-Author-Charles-Dickens-compressed.txt,896711,894125,157403,157326,15607,15526,0,0.002884,0.000489,
data/raw/text_extracted/CharlesDicken/20-The-Old-Curiosity-Shop-author-Charles-Dickens.txt,data/interim/cleaned_books/CharlesDicken/20-The-Old-Curiosity-Shop-author-Charles-Dickens.txt,1238633,1210150,218405,217680,25059,23098,617,0.022996,0.00332,
data/raw/text_extracted/CharlesDicken/21-Master-Humphrey-s-Clock-author-Charles-Dickens.txt,data/interim/cleaned_books/CharlesDicken/21-Master-Humphrey-s-Clock-author-Charles-Dickens.txt,254119,253871,45944,45920,5363,5273,0,0.000976,0.000522,
data/raw/text_extracted/CharlesDicken/4-David-Copperfield-author-Charles-Dickens.txt,data/interim/cleaned_books/CharlesDicken/4-David-Copperfield-author-Charles-Dickens.txt,1974921,1932106,358224,357112,41845,38821,952,0.021679,0.003104,
data/raw/text_extracted/CharlesDicken/7-The-Posthumous-Papers-of-the-Pickwick-Club-autor-Charles-Dickens.txt,data/interim/cleaned_books/CharlesDicken/7-The-Posthumous-Papers-of-the-Pickwick-Club-autor-Charles-Dickens.txt,1747933,1742565,298973,298973,42680,42510,0,0.003071,0.0,
data/raw/text_extracted/CharlesDicken/8-Nicholas-Nickleby-autor-Charles-Dickens.txt,data/interim/cleaned_books/CharlesDicken/8-Nicholas-Nickleby-autor-Charles-Dickens.txt,1848847,1843299,320834,320834,42087,41975,0,0.003001,0.0,
data/raw/text_extracted/CharlesDicken/9-Little-Dorrit-author-Charles-Dickens.txt,data/interim/cleaned_books/CharlesDicken/9-Little-Dorrit-author-Charles-Dickens.txt,1922249,1878555,340776,339697,39388,36393,947,0.022731,0.003166,
data/raw/text_extracted/CharlesDicken/a-christmas-carol-charles-dickens.txt,data/interim/cleaned_books/CharlesDicken/a-christmas-carol-charles-dickens.txt,164458,159475,28953,28805,4308,3872,126,0.0303,0.005112,
data/raw/text_extracted/CharlesDicken/A-House-to-Let-Charles-Dickens.txt,data/interim/cleaned_books/CharlesDicken/A-House-to-Let-Charles-Dickens.txt,183691,183237,34108,34089,3182,3161,0,0.002472,0.000557,
data/raw/text_extracted/CharlesDicken/a-tale-of-two-cities-charles-dickens.txt,data/interim/cleaned_books/CharlesDicken/a-tale-of-two-cities-charles-dickens.txt,783536,759297,138334,137587,20427,18314,607,0.030935,0.0054,
data/raw/text_extracted/CharlesDicken/great-expectations-charles-dicken.txt,data/interim/cleaned_books/CharlesDicken/great-expectations-charles-dicken.txt,1039291,998085,186793,185738,30688,25239,956,0.039648,0.005648,
data/raw/text_extracted/CharlesDicken/Sketches-by-Boz-Charles-Dickens.txt,data/interim/cleaned_books/CharlesDicken/Sketches-by-Boz-Charles-Dickens.txt,1491218,1478274,254088,253800,22177,21888,2,0.00868,0.001133,
data/raw/text_extracted/EdgarPoe/the-complete-works-of-edgar-allan-poe.txt,data/interim/cleaned_books/EdgarPoe/the-complete-works-of-edgar-allan-poe.txt,3401763,3384181,592442,592112,50741,50126,121,0.005168,0.000557,
data/raw/text_extracted/Marktwain/completeworksofm09twaiiala.txt,data/interim/cleaned_books/Marktwain/completeworksofm09twaiiala.txt,617688,572840,113134,112687,14990,14147,327,0.072606,0.003951,
data/raw/text_extracted/Marryshelly/delphi-complete-works-of-mary-shelley-mary-shelley-_shelley_-mary_-2013-Delphi-Classics-147fa34700ef.txt,data/interim/cleaned_books/Marryshelly/delphi-complete-works-of-mary-shelley-mary-shelley-_shelley_-mary_-2013-Delphi-Classics-147fa34700ef.txt,9471134,9420203,1669251,1668762,139220,138611,6,0.005377,0.000293,
data/raw/text_extracted/Oscarwilde/Complete works of Oscar Wilde (1921) 6.txt,data/interim/cleaned_books/Oscarwilde/Complete works of Oscar Wilde (1921) 6.txt,304976,242551,43335,42857,11374,10523,351,0.204688,0.01103,
data/raw/text_extracted/Oscarwilde/Lord Arthur Savile’s Crime and Other Stories - Oscar Wilde - PDF Room.txt,data/interim/cleaned_books/Oscarwilde/Lord Arthur Savile’s Crime and Other Stories - Oscar Wilde - PDF Room.txt,226134,221988,40132,40121,3581,3543,0,0.018334,0.000274,
data/raw/text_extracted/Oscarwilde/THE PICTURE OF DORIAN GRAY.txt,data/interim/cleaned_books/Oscarwilde/THE PICTURE OF DORIAN GRAY.txt,85791,58887,10867,10858,1057,1024,9,0.313599,0.000828,
