model,split,condition,actual_author,predicted_author,count
nearest_centroid,validation,original,austen,austen,7
nearest_centroid,validation,original,austen,dickens,0
nearest_centroid,validation,original,austen,poe,0
nearest_centroid,validation,original,austen,shelley,1
nearest_centroid,validation,original,austen,twain,0
nearest_centroid,validation,original,austen,wilde,1
nearest_centroid,validation,original,dickens,austen,1
nearest_centroid,validation,original,dickens,dickens,8
nearest_centroid,validation,original,dickens,poe,0
nearest_centroid,validation,original,dickens,shelley,0
nearest_centroid,validation,original,dickens,twain,0
nearest_centroid,validation,original,dickens,wilde,0
nearest_centroid,validation,original,poe,austen,0
nearest_centroid,validation,original,poe,dickens,0
nearest_centroid,validation,original,poe,poe,7
nearest_centroid,validation,original,poe,shelley,2
nearest_centroid,validation,original,poe,twain,0
nearest_centroid,validation,original,poe,wilde,0
nearest_centroid,validation,original,shelley,austen,0
nearest_centroid,validation,original,shelley,dickens,0
nearest_centroid,validation,original,shelley,poe,1
nearest_centroid,validation,original,shelley,shelley,8
nearest_centroid,validation,original,shelley,twain,0
nearest_centroid,validation,original,shelley,wilde,0
nearest_centroid,validation,original,twain,austen,1
nearest_centroid,validation,original,twain,dickens,1
nearest_centroid,validation,original,twain,poe,2
nearest_centroid,validation,original,twain,shelley,0
nearest_centroid,validation,original,twain,twain,2
nearest_centroid,validation,original,twain,wilde,3
nearest_centroid,validation,original,wilde,austen,0
nearest_centroid,validation,original,wilde,dickens,3
nearest_centroid,validation,original,wilde,poe,0
nearest_centroid,validation,original,wilde,shelley,1
nearest_centroid,validation,original,wilde,twain,2
nearest_centroid,validation,original,wilde,wilde,3
nearest_centroid,validation,paraphrase,austen,austen,5
nearest_centroid,validation,paraphrase,austen,dickens,0
nearest_centroid,validation,paraphrase,austen,poe,0
nearest_centroid,validation,paraphrase,austen,shelley,4
nearest_centroid,validation,paraphrase,austen,twain,0
nearest_centroid,validation,paraphrase,austen,wilde,0
nearest_centroid,validation,paraphrase,dickens,austen,0
nearest_centroid,validation,paraphrase,dickens,dickens,2
nearest_centroid,validation,paraphrase,dickens,poe,0
nearest_centroid,validation,paraphrase,dickens,shelley,1
nearest_centroid,validation,paraphrase,dickens,twain,0
nearest_centroid,validation,paraphrase,dickens,wilde,6
nearest_centroid,validation,paraphrase,poe,austen,0
nearest_centroid,validation,paraphrase,poe,dickens,0
nearest_centroid,validation,paraphrase,poe,poe,4
nearest_centroid,validation,paraphrase,poe,shelley,5
nearest_centroid,validation,paraphrase,poe,twain,0
nearest_centroid,validation,paraphrase,poe,wilde,0
nearest_centroid,validation,paraphrase,shelley,austen,0
nearest_centroid,validation,paraphrase,shelley,dickens,0
nearest_centroid,validation,paraphrase,shelley,poe,1
nearest_centroid,validation,paraphrase,shelley,shelley,8
nearest_centroid,validation,paraphrase,shelley,twain,0
nearest_centroid,validation,paraphrase,shelley,wilde,0
nearest_centroid,validation,paraphrase,twain,austen,1
nearest_centroid,validation,paraphrase,twain,dickens,2
nearest_centroid,validation,paraphrase,twain,poe,2
nearest_centroid,validation,paraphrase,twain,shelley,0
nearest_centroid,validation,paraphrase,twain,twain,0
nearest_centroid,validation,paraphrase,twain,wilde,4
nearest_centroid,validation,paraphrase,wilde,austen,0
nearest_centroid,validation,paraphrase,wilde,dickens,1
nearest_centroid,validation,paraphrase,wilde,poe,0
nearest_centroid,validation,paraphrase,wilde,shelley,1
nearest_centroid,validation,paraphrase,wilde,twain,0
nearest_centroid,validation,paraphrase,wilde,wilde,7
nearest_centroid,validation,modernize,austen,austen,7
nearest_centroid,validation,modernize,austen,dickens,0
nearest_centroid,validation,modernize,austen,poe,0
nearest_centroid,validation,modernize,austen,shelley,1
nearest_centroid,validation,modernize,austen,twain,0
nearest_centroid,validation,modernize,austen,wilde,1
nearest_centroid,validation,modernize,dickens,austen,1
nearest_centroid,validation,modernize,dickens,dickens,3
nearest_centroid,validation,modernize,dickens,poe,0
nearest_centroid,validation,modernize,dickens,shelley,0
nearest_centroid,validation,modernize,dickens,twain,0
nearest_centroid,validation,modernize,dickens,wilde,5
nearest_centroid,validation,modernize,poe,austen,0
nearest_centroid,validation,modernize,poe,dickens,0
nearest_centroid,validation,modernize,poe,poe,4
nearest_centroid,validation,modernize,poe,shelley,4
nearest_centroid,validation,modernize,poe,twain,0
nearest_centroid,validation,modernize,poe,wilde,1
nearest_centroid,validation,modernize,shelley,austen,0
nearest_centroid,validation,modernize,shelley,dickens,0
nearest_centroid,validation,modernize,shelley,poe,1
nearest_centroid,validation,modernize,shelley,shelley,8
nearest_centroid,validation,modernize,shelley,twain,0
nearest_centroid,validation,modernize,shelley,wilde,0
nearest_centroid,validation,modernize,twain,austen,1
nearest_centroid,validation,modernize,twain,dickens,2
nearest_centroid,validation,modernize,twain,poe,2
nearest_centroid,validation,modernize,twain,shelley,0
nearest_centroid,validation,modernize,twain,twain,1
nearest_centroid,validation,modernize,twain,wilde,3
nearest_centroid,validation,modernize,wilde,austen,0
nearest_centroid,validation,modernize,wilde,dickens,2
nearest_centroid,validation,modernize,wilde,poe,0
nearest_centroid,validation,modernize,wilde,shelley,1
nearest_centroid,validation,modernize,wilde,twain,1
nearest_centroid,validation,modernize,wilde,wilde,5
nearest_centroid,validation,simplify,austen,austen,9
nearest_centroid,validation,simplify,austen,dickens,0
nearest_centroid,validation,simplify,austen,poe,0
nearest_centroid,validation,simplify,austen,shelley,0
nearest_centroid,validation,simplify,austen,twain,0
nearest_centroid,validation,simplify,austen,wilde,0
nearest_centroid,validation,simplify,dickens,austen,2
nearest_centroid,validation,simplify,dickens,dickens,0
nearest_centroid,validation,simplify,dickens,poe,0
nearest_centroid,validation,simplify,dickens,shelley,0
nearest_centroid,validation,simplify,dickens,twain,0
nearest_centroid,validation,simplify,dickens,wilde,7
nearest_centroid,validation,simplify,poe,austen,0
nearest_centroid,validation,simplify,poe,dickens,1
nearest_centroid,validation,simplify,poe,poe,1
nearest_centroid,validation,simplify,poe,shelley,5
nearest_centroid,validation,simplify,poe,twain,0
nearest_centroid,validation,simplify,poe,wilde,2
nearest_centroid,validation,simplify,shelley,austen,0
nearest_centroid,validation,simplify,shelley,dickens,0
nearest_centroid,validation,simplify,shelley,poe,1
nearest_centroid,validation,simplify,shelley,shelley,7
nearest_centroid,validation,simplify,shelley,twain,0
nearest_centroid,validation,simplify,shelley,wilde,1
nearest_centroid,validation,simplify,twain,austen,1
nearest_centroid,validation,simplify,twain,dickens,1
nearest_centroid,validation,simplify,twain,poe,2
nearest_centroid,validation,simplify,twain,shelley,0
nearest_centroid,validation,simplify,twain,twain,1
nearest_centroid,validation,simplify,twain,wilde,4
nearest_centroid,validation,simplify,wilde,austen,1
nearest_centroid,validation,simplify,wilde,dickens,1
nearest_centroid,validation,simplify,wilde,poe,0
nearest_centroid,validation,simplify,wilde,shelley,0
nearest_centroid,validation,simplify,wilde,twain,1
nearest_centroid,validation,simplify,wilde,wilde,6
nearest_centroid,test,original,austen,austen,9
nearest_centroid,test,original,austen,dickens,0
nearest_centroid,test,original,austen,poe,0
nearest_centroid,test,original,austen,shelley,0
nearest_centroid,test,original,austen,twain,0
nearest_centroid,test,original,austen,wilde,0
nearest_centroid,test,original,dickens,austen,1
nearest_centroid,test,original,dickens,dickens,6
nearest_centroid,test,original,dickens,poe,0
nearest_centroid,test,original,dickens,shelley,0
nearest_centroid,test,original,dickens,twain,0
nearest_centroid,test,original,dickens,wilde,2
nearest_centroid,test,original,poe,austen,0
nearest_centroid,test,original,poe,dickens,1
nearest_centroid,test,original,poe,poe,6
nearest_centroid,test,original,poe,shelley,2
nearest_centroid,test,original,poe,twain,0
nearest_centroid,test,original,poe,wilde,0
nearest_centroid,test,original,shelley,austen,0
nearest_centroid,test,original,shelley,dickens,0
nearest_centroid,test,original,shelley,poe,1
nearest_centroid,test,original,shelley,shelley,8
nearest_centroid,test,original,shelley,twain,0
nearest_centroid,test,original,shelley,wilde,0
nearest_centroid,test,original,twain,austen,0
nearest_centroid,test,original,twain,dickens,1
nearest_centroid,test,original,twain,poe,0
nearest_centroid,test,original,twain,shelley,0
nearest_centroid,test,original,twain,twain,7
nearest_centroid,test,original,twain,wilde,1
nearest_centroid,test,original,wilde,austen,0
nearest_centroid,test,original,wilde,dickens,0
nearest_centroid,test,original,wilde,poe,2
nearest_centroid,test,original,wilde,shelley,1
nearest_centroid,test,original,wilde,twain,0
nearest_centroid,test,original,wilde,wilde,6
nearest_centroid,test,paraphrase,austen,austen,8
nearest_centroid,test,paraphrase,austen,dickens,0
nearest_centroid,test,paraphrase,austen,poe,0
nearest_centroid,test,paraphrase,austen,shelley,1
nearest_centroid,test,paraphrase,austen,twain,0
nearest_centroid,test,paraphrase,austen,wilde,0
nearest_centroid,test,paraphrase,dickens,austen,0
nearest_centroid,test,paraphrase,dickens,dickens,2
nearest_centroid,test,paraphrase,dickens,poe,0
nearest_centroid,test,paraphrase,dickens,shelley,1
nearest_centroid,test,paraphrase,dickens,twain,0
nearest_centroid,test,paraphrase,dickens,wilde,6
nearest_centroid,test,paraphrase,poe,austen,0
nearest_centroid,test,paraphrase,poe,dickens,1
nearest_centroid,test,paraphrase,poe,poe,3
nearest_centroid,test,paraphrase,poe,shelley,5
nearest_centroid,test,paraphrase,poe,twain,0
nearest_centroid,test,paraphrase,poe,wilde,0
nearest_centroid,test,paraphrase,shelley,austen,0
nearest_centroid,test,paraphrase,shelley,dickens,0
nearest_centroid,test,paraphrase,shelley,poe,1
nearest_centroid,test,paraphrase,shelley,shelley,7
nearest_centroid,test,paraphrase,shelley,twain,0
nearest_centroid,test,paraphrase,shelley,wilde,1
nearest_centroid,test,paraphrase,twain,austen,3
nearest_centroid,test,paraphrase,twain,dickens,1
nearest_centroid,test,paraphrase,twain,poe,0
nearest_centroid,test,paraphrase,twain,shelley,0
nearest_centroid,test,paraphrase,twain,twain,0
nearest_centroid,test,paraphrase,twain,wilde,5
nearest_centroid,test,paraphrase,wilde,austen,0
nearest_centroid,test,paraphrase,wilde,dickens,0
nearest_centroid,test,paraphrase,wilde,poe,1
nearest_centroid,test,paraphrase,wilde,shelley,4
nearest_centroid,test,paraphrase,wilde,twain,0
nearest_centroid,test,paraphrase,wilde,wilde,4
nearest_centroid,test,modernize,austen,austen,9
nearest_centroid,test,modernize,austen,dickens,0
nearest_centroid,test,modernize,austen,poe,0
nearest_centroid,test,modernize,austen,shelley,0
nearest_centroid,test,modernize,austen,twain,0
nearest_centroid,test,modernize,austen,wilde,0
nearest_centroid,test,modernize,dickens,austen,1
nearest_centroid,test,modernize,dickens,dickens,2
nearest_centroid,test,modernize,dickens,poe,0
nearest_centroid,test,modernize,dickens,shelley,0
nearest_centroid,test,modernize,dickens,twain,0
nearest_centroid,test,modernize,dickens,wilde,6
nearest_centroid,test,modernize,poe,austen,0
nearest_centroid,test,modernize,poe,dickens,1
nearest_centroid,test,modernize,poe,poe,4
nearest_centroid,test,modernize,poe,shelley,4
nearest_centroid,test,modernize,poe,twain,0
nearest_centroid,test,modernize,poe,wilde,0
nearest_centroid,test,modernize,shelley,austen,0
nearest_centroid,test,modernize,shelley,dickens,0
nearest_centroid,test,modernize,shelley,poe,1
nearest_centroid,test,modernize,shelley,shelley,7
nearest_centroid,test,modernize,shelley,twain,0
nearest_centroid,test,modernize,shelley,wilde,1
nearest_centroid,test,modernize,twain,austen,0
nearest_centroid,test,modernize,twain,dickens,2
nearest_centroid,test,modernize,twain,poe,0
nearest_centroid,test,modernize,twain,shelley,0
nearest_centroid,test,modernize,twain,twain,3
nearest_centroid,test,modernize,twain,wilde,4
nearest_centroid,test,modernize,wilde,austen,0
nearest_centroid,test,modernize,wilde,dickens,0
nearest_centroid,test,modernize,wilde,poe,1
nearest_centroid,test,modernize,wilde,shelley,2
nearest_centroid,test,modernize,wilde,twain,0
nearest_centroid,test,modernize,wilde,wilde,6
nearest_centroid,test,simplify,austen,austen,9
nearest_centroid,test,simplify,austen,dickens,0
nearest_centroid,test,simplify,austen,poe,0
nearest_centroid,test,simplify,austen,shelley,0
nearest_centroid,test,simplify,austen,twain,0
nearest_centroid,test,simplify,austen,wilde,0
nearest_centroid,test,simplify,dickens,austen,1
nearest_centroid,test,simplify,dickens,dickens,2
nearest_centroid,test,simplify,dickens,poe,0
nearest_centroid,test,simplify,dickens,shelley,0
nearest_centroid,test,simplify,dickens,twain,0
nearest_centroid,test,simplify,dickens,wilde,6
nearest_centroid,test,simplify,poe,austen,0
nearest_centroid,test,simplify,poe,dickens,1
nearest_centroid,test,simplify,poe,poe,4
nearest_centroid,test,simplify,poe,shelley,4
nearest_centroid,test,simplify,poe,twain,0
nearest_centroid,test,simplify,poe,wilde,0
nearest_centroid,test,simplify,shelley,austen,2
nearest_centroid,test,simplify,shelley,dickens,0
nearest_centroid,test,simplify,shelley,poe,1
nearest_centroid,test,simplify,shelley,shelley,3
nearest_centroid,test,simplify,shelley,twain,0
nearest_centroid,test,simplify,shelley,wilde,3
nearest_centroid,test,simplify,twain,austen,1
nearest_centroid,test,simplify,twain,dickens,0
nearest_centroid,test,simplify,twain,poe,0
nearest_centroid,test,simplify,twain,shelley,0
nearest_centroid,test,simplify,twain,twain,2
nearest_centroid,test,simplify,twain,wilde,6
nearest_centroid,test,simplify,wilde,austen,0
nearest_centroid,test,simplify,wilde,dickens,0
nearest_centroid,test,simplify,wilde,poe,1
nearest_centroid,test,simplify,wilde,shelley,2
nearest_centroid,test,simplify,wilde,twain,0
nearest_centroid,test,simplify,wilde,wilde,6
diagonal_gaussian_nb,validation,original,austen,austen,8
diagonal_gaussian_nb,validation,original,austen,dickens,0
diagonal_gaussian_nb,validation,original,austen,poe,0
diagonal_gaussian_nb,validation,original,austen,shelley,1
diagonal_gaussian_nb,validation,original,austen,twain,0
diagonal_gaussian_nb,validation,original,austen,wilde,0
diagonal_gaussian_nb,validation,original,dickens,austen,0
diagonal_gaussian_nb,validation,original,dickens,dickens,9
diagonal_gaussian_nb,validation,original,dickens,poe,0
diagonal_gaussian_nb,validation,original,dickens,shelley,0
diagonal_gaussian_nb,validation,original,dickens,twain,0
diagonal_gaussian_nb,validation,original,dickens,wilde,0
diagonal_gaussian_nb,validation,original,poe,austen,0
diagonal_gaussian_nb,validation,original,poe,dickens,0
diagonal_gaussian_nb,validation,original,poe,poe,7
diagonal_gaussian_nb,validation,original,poe,shelley,1
diagonal_gaussian_nb,validation,original,poe,twain,1
diagonal_gaussian_nb,validation,original,poe,wilde,0
diagonal_gaussian_nb,validation,original,shelley,austen,0
diagonal_gaussian_nb,validation,original,shelley,dickens,0
diagonal_gaussian_nb,validation,original,shelley,poe,1
diagonal_gaussian_nb,validation,original,shelley,shelley,8
diagonal_gaussian_nb,validation,original,shelley,twain,0
diagonal_gaussian_nb,validation,original,shelley,wilde,0
diagonal_gaussian_nb,validation,original,twain,austen,1
diagonal_gaussian_nb,validation,original,twain,dickens,4
diagonal_gaussian_nb,validation,original,twain,poe,0
diagonal_gaussian_nb,validation,original,twain,shelley,0
diagonal_gaussian_nb,validation,original,twain,twain,3
diagonal_gaussian_nb,validation,original,twain,wilde,1
diagonal_gaussian_nb,validation,original,wilde,austen,0
diagonal_gaussian_nb,validation,original,wilde,dickens,5
diagonal_gaussian_nb,validation,original,wilde,poe,0
diagonal_gaussian_nb,validation,original,wilde,shelley,1
diagonal_gaussian_nb,validation,original,wilde,twain,0
diagonal_gaussian_nb,validation,original,wilde,wilde,3
diagonal_gaussian_nb,validation,paraphrase,austen,austen,6
diagonal_gaussian_nb,validation,paraphrase,austen,dickens,0
diagonal_gaussian_nb,validation,paraphrase,austen,poe,0
diagonal_gaussian_nb,validation,paraphrase,austen,shelley,2
diagonal_gaussian_nb,validation,paraphrase,austen,twain,0
diagonal_gaussian_nb,validation,paraphrase,austen,wilde,1
diagonal_gaussian_nb,validation,paraphrase,dickens,austen,0
diagonal_gaussian_nb,validation,paraphrase,dickens,dickens,2
diagonal_gaussian_nb,validation,paraphrase,dickens,poe,1
diagonal_gaussian_nb,validation,paraphrase,dickens,shelley,1
diagonal_gaussian_nb,validation,paraphrase,dickens,twain,0
diagonal_gaussian_nb,validation,paraphrase,dickens,wilde,5
diagonal_gaussian_nb,validation,paraphrase,poe,austen,0
diagonal_gaussian_nb,validation,paraphrase,poe,dickens,0
diagonal_gaussian_nb,validation,paraphrase,poe,poe,6
diagonal_gaussian_nb,validation,paraphrase,poe,shelley,2
diagonal_gaussian_nb,validation,paraphrase,poe,twain,0
diagonal_gaussian_nb,validation,paraphrase,poe,wilde,1
diagonal_gaussian_nb,validation,paraphrase,shelley,austen,0
diagonal_gaussian_nb,validation,paraphrase,shelley,dickens,0
diagonal_gaussian_nb,validation,paraphrase,shelley,poe,4
diagonal_gaussian_nb,validation,paraphrase,shelley,shelley,4
diagonal_gaussian_nb,validation,paraphrase,shelley,twain,0
diagonal_gaussian_nb,validation,paraphrase,shelley,wilde,1
diagonal_gaussian_nb,validation,paraphrase,twain,austen,0
diagonal_gaussian_nb,validation,paraphrase,twain,dickens,3
diagonal_gaussian_nb,validation,paraphrase,twain,poe,2
diagonal_gaussian_nb,validation,paraphrase,twain,shelley,0
diagonal_gaussian_nb,validation,paraphrase,twain,twain,0
diagonal_gaussian_nb,validation,paraphrase,twain,wilde,4
diagonal_gaussian_nb,validation,paraphrase,wilde,austen,0
diagonal_gaussian_nb,validation,paraphrase,wilde,dickens,3
diagonal_gaussian_nb,validation,paraphrase,wilde,poe,0
diagonal_gaussian_nb,validation,paraphrase,wilde,shelley,0
diagonal_gaussian_nb,validation,paraphrase,wilde,twain,0
diagonal_gaussian_nb,validation,paraphrase,wilde,wilde,6
diagonal_gaussian_nb,validation,modernize,austen,austen,7
diagonal_gaussian_nb,validation,modernize,austen,dickens,1
diagonal_gaussian_nb,validation,modernize,austen,poe,0
diagonal_gaussian_nb,validation,modernize,austen,shelley,1
diagonal_gaussian_nb,validation,modernize,austen,twain,0
diagonal_gaussian_nb,validation,modernize,austen,wilde,0
diagonal_gaussian_nb,validation,modernize,dickens,austen,0
diagonal_gaussian_nb,validation,modernize,dickens,dickens,5
diagonal_gaussian_nb,validation,modernize,dickens,poe,0
diagonal_gaussian_nb,validation,modernize,dickens,shelley,0
diagonal_gaussian_nb,validation,modernize,dickens,twain,0
diagonal_gaussian_nb,validation,modernize,dickens,wilde,4
diagonal_gaussian_nb,validation,modernize,poe,austen,0
diagonal_gaussian_nb,validation,modernize,poe,dickens,2
diagonal_gaussian_nb,validation,modernize,poe,poe,4
diagonal_gaussian_nb,validation,modernize,poe,shelley,3
diagonal_gaussian_nb,validation,modernize,poe,twain,0
diagonal_gaussian_nb,validation,modernize,poe,wilde,0
diagonal_gaussian_nb,validation,modernize,shelley,austen,0
diagonal_gaussian_nb,validation,modernize,shelley,dickens,0
diagonal_gaussian_nb,validation,modernize,shelley,poe,1
diagonal_gaussian_nb,validation,modernize,shelley,shelley,8
diagonal_gaussian_nb,validation,modernize,shelley,twain,0
diagonal_gaussian_nb,validation,modernize,shelley,wilde,0
diagonal_gaussian_nb,validation,modernize,twain,austen,1
diagonal_gaussian_nb,validation,modernize,twain,dickens,3
diagonal_gaussian_nb,validation,modernize,twain,poe,2
diagonal_gaussian_nb,validation,modernize,twain,shelley,0
diagonal_gaussian_nb,validation,modernize,twain,twain,2
diagonal_gaussian_nb,validation,modernize,twain,wilde,1
diagonal_gaussian_nb,validation,modernize,wilde,austen,0
diagonal_gaussian_nb,validation,modernize,wilde,dickens,4
diagonal_gaussian_nb,validation,modernize,wilde,poe,0
diagonal_gaussian_nb,validation,modernize,wilde,shelley,1
diagonal_gaussian_nb,validation,modernize,wilde,twain,1
diagonal_gaussian_nb,validation,modernize,wilde,wilde,3
diagonal_gaussian_nb,validation,simplify,austen,austen,9
diagonal_gaussian_nb,validation,simplify,austen,dickens,0
diagonal_gaussian_nb,validation,simplify,austen,poe,0
diagonal_gaussian_nb,validation,simplify,austen,shelley,0
diagonal_gaussian_nb,validation,simplify,austen,twain,0
diagonal_gaussian_nb,validation,simplify,austen,wilde,0
diagonal_gaussian_nb,validation,simplify,dickens,austen,1
diagonal_gaussian_nb,validation,simplify,dickens,dickens,4
diagonal_gaussian_nb,validation,simplify,dickens,poe,0
diagonal_gaussian_nb,validation,simplify,dickens,shelley,0
diagonal_gaussian_nb,validation,simplify,dickens,twain,0
diagonal_gaussian_nb,validation,simplify,dickens,wilde,4
diagonal_gaussian_nb,validation,simplify,poe,austen,0
diagonal_gaussian_nb,validation,simplify,poe,dickens,3
diagonal_gaussian_nb,validation,simplify,poe,poe,1
diagonal_gaussian_nb,validation,simplify,poe,shelley,3
diagonal_gaussian_nb,validation,simplify,poe,twain,0
diagonal_gaussian_nb,validation,simplify,poe,wilde,2
diagonal_gaussian_nb,validation,simplify,shelley,austen,0
diagonal_gaussian_nb,validation,simplify,shelley,dickens,0
diagonal_gaussian_nb,validation,simplify,shelley,poe,1
diagonal_gaussian_nb,validation,simplify,shelley,shelley,7
diagonal_gaussian_nb,validation,simplify,shelley,twain,0
diagonal_gaussian_nb,validation,simplify,shelley,wilde,1
diagonal_gaussian_nb,validation,simplify,twain,austen,1
diagonal_gaussian_nb,validation,simplify,twain,dickens,3
diagonal_gaussian_nb,validation,simplify,twain,poe,1
diagonal_gaussian_nb,validation,simplify,twain,shelley,0
diagonal_gaussian_nb,validation,simplify,twain,twain,2
diagonal_gaussian_nb,validation,simplify,twain,wilde,2
diagonal_gaussian_nb,validation,simplify,wilde,austen,1
diagonal_gaussian_nb,validation,simplify,wilde,dickens,0
diagonal_gaussian_nb,validation,simplify,wilde,poe,0
diagonal_gaussian_nb,validation,simplify,wilde,shelley,0
diagonal_gaussian_nb,validation,simplify,wilde,twain,1
diagonal_gaussian_nb,validation,simplify,wilde,wilde,7
diagonal_gaussian_nb,test,original,austen,austen,9
diagonal_gaussian_nb,test,original,austen,dickens,0
diagonal_gaussian_nb,test,original,austen,poe,0
diagonal_gaussian_nb,test,original,austen,shelley,0
diagonal_gaussian_nb,test,original,austen,twain,0
diagonal_gaussian_nb,test,original,austen,wilde,0
diagonal_gaussian_nb,test,original,dickens,austen,1
diagonal_gaussian_nb,test,original,dickens,dickens,8
diagonal_gaussian_nb,test,original,dickens,poe,0
diagonal_gaussian_nb,test,original,dickens,shelley,0
diagonal_gaussian_nb,test,original,dickens,twain,0
diagonal_gaussian_nb,test,original,dickens,wilde,0
diagonal_gaussian_nb,test,original,poe,austen,0
diagonal_gaussian_nb,test,original,poe,dickens,0
diagonal_gaussian_nb,test,original,poe,poe,6
diagonal_gaussian_nb,test,original,poe,shelley,2
diagonal_gaussian_nb,test,original,poe,twain,1
diagonal_gaussian_nb,test,original,poe,wilde,0
diagonal_gaussian_nb,test,original,shelley,austen,0
diagonal_gaussian_nb,test,original,shelley,dickens,1
diagonal_gaussian_nb,test,original,shelley,poe,2
diagonal_gaussian_nb,test,original,shelley,shelley,6
diagonal_gaussian_nb,test,original,shelley,twain,0
diagonal_gaussian_nb,test,original,shelley,wilde,0
diagonal_gaussian_nb,test,original,twain,austen,0
diagonal_gaussian_nb,test,original,twain,dickens,3
diagonal_gaussian_nb,test,original,twain,poe,0
